#mpa_vJun23_CHOCOPhlAnSGB_202403
#/home/ubuntu/anaconda3/envs/metaphlan/bin/metaphlan /media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209384_1.fastq,/media/ubuntu/My Passport/NieisenHB 2014 PRIEB1220/ERR209384_2.fastq --nproc 60 --input_type fastq -o /mnt/data/output/ERR209384_mtphlan.txt --bowtie2out /mnt/data/output/ERR209384.bowtie2out.bz2
#9968759 reads processed
#SampleID	Metaphlan_Analysis
#clade_name	NCBI_tax_id	relative_abundance	additional_species
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	0.98234	
k__Bacteria|p__Firmicutes|c__CFGB10314	2|1239|	0.61807	
k__Bacteria|p__Firmicutes|c__CFGB10477	2|1239|	0.59391	
k__Bacteria|p__Firmicutes|c__CFGB1226	2|1239|	0.56478	
k__Bacteria|p__Tenericutes|c__CFGB1800	2|544448|	0.49684	
k__Bacteria|p__Bacteroidota|c__CFGB4405	2|976|	0.46344	
k__Bacteria|p__Firmicutes|c__CFGB10325	2|1239|	0.41922	
k__Bacteria|p__Lentisphaerae|c__CFGB2378	2|256845|	0.30279	
k__Bacteria|p__Firmicutes|c__CFGB1355	2|1239|	0.26189	
k__Bacteria|p__Firmicutes|c__CFGB2840	2|1239|	0.18883	
k__Bacteria|p__Firmicutes|c__CFGB79363	2|1239|	0.16052	
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.15545	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.15218	
k__Bacteria|p__Firmicutes|c__CFGB1325	2|1239|	0.1445	
k__Bacteria|p__Firmicutes|c__CFGB2834	2|1239|	0.12799	
k__Bacteria|p__Firmicutes|c__CFGB2960	2|1239|	0.12495	
k__Bacteria|p__Firmicutes|c__CFGB73902	2|1239|	0.11282	
k__Bacteria|p__Firmicutes|c__CFGB2839	2|1239|	0.11076	
k__Bacteria|p__Firmicutes|c__CFGB2875	2|1239|	0.10467	
k__Bacteria|p__Verrucomicrobia|c__Opitutae	2|74201|414999	0.0876	
k__Bacteria|p__Firmicutes|c__CFGB13532	2|1239|	0.08494	
k__Bacteria|p__Firmicutes|c__CFGB3023	2|1239|	0.07941	
k__Bacteria|p__Firmicutes|c__CFGB1359	2|1239|	0.07868	
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra	2759||2683628	0.07563	
k__Bacteria|p__Firmicutes|c__CFGB1337	2|1239|	0.0606	
k__Bacteria|p__Firmicutes|c__CFGB58291	2|1239|	0.05934	
k__Bacteria|p__Firmicutes|c__CFGB8140	2|1239|	0.05893	
k__Bacteria|p__Firmicutes|c__CFGB2985	2|1239|	0.05735	
k__Bacteria|p__Firmicutes|c__CFGB1354	2|1239|	0.05356	
k__Bacteria|p__Firmicutes|c__CFGB2921	2|1239|	0.05329	
k__Bacteria|p__Firmicutes|c__CFGB58145	2|1239|	0.04174	
k__Bacteria|p__Firmicutes|c__CFGB51922	2|1239|	0.04049	
k__Bacteria|p__Firmicutes|c__CFGB1211	2|1239|	0.03831	
k__Bacteria|p__Firmicutes|c__CFGB9120	2|1239|	0.03829	
k__Bacteria|p__Firmicutes|c__CFGB1201	2|1239|	0.03814	
k__Bacteria|p__Firmicutes|c__CFGB73223	2|1239|	0.03755	
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.03474	
k__Bacteria|p__Firmicutes|c__CFGB9989	2|1239|	0.03289	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	0.03008	
k__Bacteria|p__Firmicutes|c__CFGB38642	2|1239|	0.02978	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.02954	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	0.02834	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0.02807	
k__Bacteria|p__Firmicutes|c__CFGB2932	2|1239|	0.02686	
k__Bacteria|p__Firmicutes|c__CFGB2982	2|1239|	0.02562	
k__Bacteria|p__Firmicutes|c__CFGB3062	2|1239|	0.02519	
k__Bacteria|p__Firmicutes|c__CFGB2984	2|1239|	0.02329	
k__Bacteria|p__Firmicutes|c__CFGB4605	2|1239|	0.02323	
k__Bacteria|p__Firmicutes|c__CFGB79237	2|1239|	0.02313	
k__Bacteria|p__Firmicutes|c__CFGB1126	2|1239|	0.0231	
k__Bacteria|p__Firmicutes|c__CFGB3054	2|1239|	0.02053	
k__Bacteria|p__Firmicutes|c__CFGB79294	2|1239|	0.01864	
k__Bacteria|p__Firmicutes|c__CFGB9272	2|1239|	0.01786	
k__Bacteria|p__Firmicutes|c__CFGB1011	2|1239|	0.01667	
k__Bacteria|p__Firmicutes|c__CFGB2918	2|1239|	0.01574	
k__Bacteria|p__Firmicutes|c__CFGB1260	2|1239|	0.01481	
k__Bacteria|p__Firmicutes|c__CFGB1292	2|1239|	0.01034	
k__Bacteria|p__Firmicutes|c__CFGB2952	2|1239|	0.00976	
k__Bacteria|p__Firmicutes|c__CFGB2936	2|1239|	0.00953	
k__Bacteria|p__Firmicutes|c__CFGB4559	2|1239|	0.00812	
k__Bacteria|p__Firmicutes|c__CFGB2954	2|1239|	0.00646	
k__Bacteria|p__Firmicutes|c__CFGB73062	2|1239|	0.0063	
k__Bacteria|p__Firmicutes|c__CFGB2930	2|1239|	0.00617	
k__Bacteria|p__Firmicutes|c__CFGB2997	2|1239|	0.00588	
k__Bacteria|p__Firmicutes|c__CFGB72924	2|1239|	0.00559	
k__Bacteria|p__Firmicutes|c__CFGB78608	2|1239|	0.00404	
k__Bacteria|p__Firmicutes|c__CFGB1311	2|1239|	0.00385	
k__Bacteria|p__Firmicutes|c__CFGB78291	2|1239|	0.00379	
k__Bacteria|p__Firmicutes|c__CFGB2915	2|1239|	0.00255	
k__Bacteria|p__Firmicutes|c__CFGB1227	2|1239|	0.00198	
k__Bacteria|p__Firmicutes|c__CFGB78183	2|1239|	0.00094	
k__Bacteria|p__Firmicutes|c__CFGB2845	2|1239|	0.00064	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	31.95786	
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798	2|1239||	12.44303	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765	2|1239||	8.82766	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales	2|1239|186801|186802	6.90867	
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455	2|1239||	5.4287	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales	2|1224|1236|135624	5.35415	
k__Bacteria|p__Firmicutes|c__CFGB1777|o__OFGB1777	2|1239||	4.20348	
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404	2|1224||	3.27016	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787	2|544448||	2.58634	
k__Bacteria|p__Firmicutes|c__CFGB78857|o__OFGB78857	2|1239||	2.4755	
k__Bacteria|p__Tenericutes|c__CFGB1789|o__OFGB1789	2|544448||	2.46354	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776	2|1239||	2.14006	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806	2|1239||	1.86649	
k__Bacteria|p__Firmicutes|c__CFGB2947|o__OFGB2947	2|1239||	1.37347	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	1.0081	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	0.98234	
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314	2|1239||	0.61807	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477	2|1239||	0.59391	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226	2|1239||	0.56478	
k__Bacteria|p__Tenericutes|c__CFGB1800|o__OFGB1800	2|544448||	0.49684	
k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405	2|976||	0.46344	
k__Bacteria|p__Firmicutes|c__CFGB10325|o__OFGB10325	2|1239||	0.41922	
k__Bacteria|p__Lentisphaerae|c__CFGB2378|o__OFGB2378	2|256845||	0.30279	
k__Bacteria|p__Firmicutes|c__CFGB1355|o__OFGB1355	2|1239||	0.26189	
k__Bacteria|p__Firmicutes|c__CFGB2840|o__OFGB2840	2|1239||	0.18883	
k__Bacteria|p__Firmicutes|c__CFGB79363|o__OFGB79363	2|1239||	0.16052	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	0.15545	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.15218	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325	2|1239||	0.1445	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834	2|1239||	0.12799	
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960	2|1239||	0.12495	
k__Bacteria|p__Firmicutes|c__CFGB73902|o__OFGB73902	2|1239||	0.11282	
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839	2|1239||	0.11076	
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875	2|1239||	0.10467	
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales	2|74201|414999|415001	0.0876	
k__Bacteria|p__Firmicutes|c__CFGB13532|o__OFGB13532	2|1239||	0.08494	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023	2|1239||	0.07941	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359	2|1239||	0.07868	
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra|o__Opalinata	2759||2683628|42740	0.07563	
k__Bacteria|p__Firmicutes|c__CFGB1337|o__OFGB1337	2|1239||	0.0606	
k__Bacteria|p__Firmicutes|c__CFGB58291|o__OFGB58291	2|1239||	0.05934	
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140	2|1239||	0.05893	
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985	2|1239||	0.05735	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354	2|1239||	0.05356	
k__Bacteria|p__Firmicutes|c__CFGB2921|o__OFGB2921	2|1239||	0.05329	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales	2|1239|909932|909929	0.04509	
k__Bacteria|p__Firmicutes|c__CFGB58145|o__OFGB58145	2|1239||	0.04174	
k__Bacteria|p__Firmicutes|c__CFGB51922|o__OFGB51922	2|1239||	0.04049	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211	2|1239||	0.03831	
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120	2|1239||	0.03829	
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201	2|1239||	0.03814	
k__Bacteria|p__Firmicutes|c__CFGB73223|o__OFGB73223	2|1239||	0.03755	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	0.03474	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989	2|1239||	0.03289	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	0.03008	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642	2|1239||	0.02978	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	0.02954	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.02834	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0.02807	
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932	2|1239||	0.02686	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982	2|1239||	0.02562	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062	2|1239||	0.02519	
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984	2|1239||	0.02329	
k__Bacteria|p__Firmicutes|c__CFGB4605|o__OFGB4605	2|1239||	0.02323	
k__Bacteria|p__Firmicutes|c__CFGB79237|o__OFGB79237	2|1239||	0.02313	
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126	2|1239||	0.0231	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054	2|1239||	0.02053	
k__Bacteria|p__Firmicutes|c__CFGB79294|o__OFGB79294	2|1239||	0.01864	
k__Bacteria|p__Firmicutes|c__CFGB9272|o__OFGB9272	2|1239||	0.01786	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011	2|1239||	0.01667	
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918	2|1239||	0.01574	
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260	2|1239||	0.01481	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292	2|1239||	0.01034	
k__Bacteria|p__Firmicutes|c__CFGB2952|o__OFGB2952	2|1239||	0.00976	
k__Bacteria|p__Firmicutes|c__CFGB2936|o__OFGB2936	2|1239||	0.00953	
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559	2|1239||	0.00812	
k__Bacteria|p__Firmicutes|c__CFGB2954|o__OFGB2954	2|1239||	0.00646	
k__Bacteria|p__Firmicutes|c__CFGB73062|o__OFGB73062	2|1239||	0.0063	
k__Bacteria|p__Firmicutes|c__CFGB2930|o__OFGB2930	2|1239||	0.00617	
k__Bacteria|p__Firmicutes|c__CFGB2997|o__OFGB2997	2|1239||	0.00588	
k__Bacteria|p__Firmicutes|c__CFGB72924|o__OFGB72924	2|1239||	0.00559	
k__Bacteria|p__Firmicutes|c__CFGB78608|o__OFGB78608	2|1239||	0.00404	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.00387	
k__Bacteria|p__Firmicutes|c__CFGB1311|o__OFGB1311	2|1239||	0.00385	
k__Bacteria|p__Firmicutes|c__CFGB78291|o__OFGB78291	2|1239||	0.00379	
k__Bacteria|p__Firmicutes|c__CFGB2915|o__OFGB2915	2|1239||	0.00255	
k__Bacteria|p__Firmicutes|c__CFGB1227|o__OFGB1227	2|1239||	0.00198	
k__Bacteria|p__Firmicutes|c__CFGB78183|o__OFGB78183	2|1239||	0.00094	
k__Bacteria|p__Firmicutes|c__CFGB2845|o__OFGB2845	2|1239||	0.00064	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	23.0889	
k__Bacteria|p__Firmicutes|c__CFGB1798|o__OFGB1798|f__FGB1798	2|1239|||	12.44303	
k__Bacteria|p__Firmicutes|c__CFGB1765|o__OFGB1765|f__FGB1765	2|1239|||	8.82766	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	5.85689	
k__Bacteria|p__Firmicutes|c__CFGB31455|o__OFGB31455|f__FGB31455	2|1239|||	5.4287	
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Aeromonadales|f__Succinivibrionaceae	2|1224|1236|135624|83763	5.35415	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae	2|1239|186801|186802|186803	4.42395	
k__Bacteria|p__Firmicutes|c__CFGB1777|o__OFGB1777|f__FGB1777	2|1239|||	4.20348	
k__Bacteria|p__Proteobacteria|c__CFGB2404|o__OFGB2404|f__FGB2404	2|1224|||	3.27016	
k__Bacteria|p__Tenericutes|c__CFGB1787|o__OFGB1787|f__FGB1787	2|544448|||	2.58634	
k__Bacteria|p__Firmicutes|c__CFGB78857|o__OFGB78857|f__FGB78857	2|1239|||	2.4755	
k__Bacteria|p__Tenericutes|c__CFGB1789|o__OFGB1789|f__FGB1789	2|544448|||	2.46354	
k__Bacteria|p__Firmicutes|c__CFGB1776|o__OFGB1776|f__FGB1776	2|1239|||	2.14006	
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806	2|1239|||	1.86649	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae	2|1239|186801|186802|216572	1.7101	
k__Bacteria|p__Firmicutes|c__CFGB2947|o__OFGB2947|f__FGB2947	2|1239|||	1.37347	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	1.3419	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae	2|1239|909932|1843489|31977	1.0081	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae	2|1239|526524|526525|2810280	0.76741	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae	2|976|200643|171549|2005525	0.715	
k__Bacteria|p__Firmicutes|c__CFGB10314|o__OFGB10314|f__FGB10314	2|1239|||	0.61807	
k__Bacteria|p__Firmicutes|c__CFGB10477|o__OFGB10477|f__FGB10477	2|1239|||	0.59391	
k__Bacteria|p__Firmicutes|c__CFGB1226|o__OFGB1226|f__FGB1226	2|1239|||	0.56478	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Clostridiaceae	2|1239|186801|186802|31979	0.53685	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae	2|976|200643|171549|171550	0.52633	
k__Bacteria|p__Tenericutes|c__CFGB1800|o__OFGB1800|f__FGB1800	2|544448|||	0.49684	
k__Bacteria|p__Bacteroidota|c__CFGB4405|o__OFGB4405|f__FGB4405	2|976|||	0.46344	
k__Bacteria|p__Firmicutes|c__CFGB10325|o__OFGB10325|f__FGB10325	2|1239|||	0.41922	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0.41454	
k__Bacteria|p__Lentisphaerae|c__CFGB2378|o__OFGB2378|f__FGB2378	2|256845|||	0.30279	
k__Bacteria|p__Firmicutes|c__CFGB1355|o__OFGB1355|f__FGB1355	2|1239|||	0.26189	
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	0.21493	
k__Bacteria|p__Firmicutes|c__CFGB2840|o__OFGB2840|f__FGB2840	2|1239|||	0.18883	
k__Bacteria|p__Firmicutes|c__CFGB79363|o__OFGB79363|f__FGB79363	2|1239|||	0.16052	
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	0.15545	
k__Bacteria|p__Firmicutes|c__CFGB1325|o__OFGB1325|f__FGB1325	2|1239|||	0.1445	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae	2|1224|28216|80840|995019	0.13043	
k__Bacteria|p__Firmicutes|c__CFGB2834|o__OFGB2834|f__FGB2834	2|1239|||	0.12799	
k__Bacteria|p__Firmicutes|c__CFGB2960|o__OFGB2960|f__FGB2960	2|1239|||	0.12495	
k__Bacteria|p__Firmicutes|c__CFGB73902|o__OFGB73902|f__FGB73902	2|1239|||	0.11282	
k__Bacteria|p__Firmicutes|c__CFGB2839|o__OFGB2839|f__FGB2839	2|1239|||	0.11076	
k__Bacteria|p__Firmicutes|c__CFGB2875|o__OFGB2875|f__FGB2875	2|1239|||	0.10467	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis	2|1239|186801|186802|538999	0.10216	
k__Bacteria|p__Verrucomicrobia|c__Opitutae|o__Puniceicoccales|f__Puniceicoccaceae	2|74201|414999|415001|415002	0.0876	
k__Bacteria|p__Firmicutes|c__CFGB13532|o__OFGB13532|f__FGB13532	2|1239|||	0.08494	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_unclassified	2|1239|186801|186802|	0.0827	
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023	2|1239|||	0.07941	
k__Bacteria|p__Firmicutes|c__CFGB1359|o__OFGB1359|f__FGB1359	2|1239|||	0.07868	
k__Eukaryota|p__Eukaryota_unclassified|c__Bigyra|o__Opalinata|f__Blastocystidae	2759||2683628|42740|2547934	0.07563	
k__Bacteria|p__Firmicutes|c__CFGB1337|o__OFGB1337|f__FGB1337	2|1239|||	0.0606	
k__Bacteria|p__Firmicutes|c__CFGB58291|o__OFGB58291|f__FGB58291	2|1239|||	0.05934	
k__Bacteria|p__Firmicutes|c__CFGB8140|o__OFGB8140|f__FGB8140	2|1239|||	0.05893	
k__Bacteria|p__Firmicutes|c__CFGB2985|o__OFGB2985|f__FGB2985	2|1239|||	0.05735	
k__Bacteria|p__Firmicutes|c__CFGB1354|o__OFGB1354|f__FGB1354	2|1239|||	0.05356	
k__Bacteria|p__Firmicutes|c__CFGB2921|o__OFGB2921|f__FGB2921	2|1239|||	0.05329	
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Selenomonadaceae	2|1239|909932|909929|1843491	0.04509	
k__Bacteria|p__Firmicutes|c__CFGB58145|o__OFGB58145|f__FGB58145	2|1239|||	0.04174	
k__Bacteria|p__Firmicutes|c__CFGB51922|o__OFGB51922|f__FGB51922	2|1239|||	0.04049	
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	2|1239|186801|186802|186804	0.03911	
k__Bacteria|p__Firmicutes|c__CFGB1211|o__OFGB1211|f__FGB1211	2|1239|||	0.03831	
k__Bacteria|p__Firmicutes|c__CFGB9120|o__OFGB9120|f__FGB9120	2|1239|||	0.03829	
k__Bacteria|p__Firmicutes|c__CFGB1201|o__OFGB1201|f__FGB1201	2|1239|||	0.03814	
k__Bacteria|p__Firmicutes|c__CFGB73223|o__OFGB73223|f__FGB73223	2|1239|||	0.03755	
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae	2|1239|91061|186826|1300	0.03474	
k__Bacteria|p__Firmicutes|c__CFGB9989|o__OFGB9989|f__FGB9989	2|1239|||	0.03289	
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	0.03008	
k__Bacteria|p__Firmicutes|c__CFGB38642|o__OFGB38642|f__FGB38642	2|1239|||	0.02978	
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	2|1224|28221|213115|194924	0.02954	
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.02834	
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0.02807	
k__Bacteria|p__Firmicutes|c__CFGB2932|o__OFGB2932|f__FGB2932	2|1239|||	0.02686	
k__Bacteria|p__Firmicutes|c__CFGB2982|o__OFGB2982|f__FGB2982	2|1239|||	0.02562	
k__Bacteria|p__Firmicutes|c__CFGB3062|o__OFGB3062|f__FGB3062	2|1239|||	0.02519	
k__Bacteria|p__Firmicutes|c__CFGB2984|o__OFGB2984|f__FGB2984	2|1239|||	0.02329	
k__Bacteria|p__Firmicutes|c__CFGB4605|o__OFGB4605|f__FGB4605	2|1239|||	0.02323	
k__Bacteria|p__Firmicutes|c__CFGB79237|o__OFGB79237|f__FGB79237	2|1239|||	0.02313	
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126	2|1239|||	0.0231	
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	2|1224|28216|80840|75682	0.02176	
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054	2|1239|||	0.02053	
k__Bacteria|p__Firmicutes|c__CFGB79294|o__OFGB79294|f__FGB79294	2|1239|||	0.01864	
k__Bacteria|p__Firmicutes|c__CFGB9272|o__OFGB9272|f__FGB9272	2|1239|||	0.01786	
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011	2|1239|||	0.01667	
k__Bacteria|p__Firmicutes|c__CFGB2918|o__OFGB2918|f__FGB2918	2|1239|||	0.01574	
k__Bacteria|p__Firmicutes|c__CFGB1260|o__OFGB1260|f__FGB1260	2|1239|||	0.01481	
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	0.01431	
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292	2|1239|||	0.01034	
k__Bacteria|p__Firmicutes|c__CFGB2952|o__OFGB2952|f__FGB2952	2|1239|||	0.00976	
k__Bacteria|p__Firmicutes|c__CFGB2936|o__OFGB2936|f__FGB2936	2|1239|||	0.00953	
k__Bacteria|p__Firmicutes|c__CFGB4559|o__OFGB4559|f__FGB4559	2|1239|||	0.00812	
